INFO 2019-09-19 09:59:02,256 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-09-19 09:59:02,265 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-09-19 09:59:02,271 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,536 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 10:02:12,581 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,584 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,587 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,588 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,592 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,594 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-09-19 10:02:12,620 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,830 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 10:02:13,849 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,849 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,851 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,852 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,853 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,867 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-09-19 10:02:13,873 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 10:02:15,092 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 10:02:15,110 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
